SYMBOL,fastsma_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
ATOMUSDT,60,8.307000000000286e-05,0.030797951540744682,1.001739154829793,47.82608695652174,23,3.752716263256639,-1.9988393154967432,0.0022135966103633427,0.004478295120755704,,fastsma_60
ATOMUSDT,70,-0.014608030000000003,-0.5187255157514017,0.7320110886421767,30.434782608695656,23,4.560240092373635,-2.147921667665991,0.3203346688791648,0.03610563997264604,,fastsma_70
ATOMUSDT,80,-0.012129170000000028,-0.4280768680886254,0.7682246551699757,25.925925925925924,27,4.177289171376552,-2.071948230516692,0.29035983630510964,0.010508713212780796,-61.27335835840374,fastsma_80
LUNCUSDT,10,3.495470000000012e-08,0.05149375495633581,1.0343017490558477,38.88888888888889,36,0.00010767511392506535,-5.051602166443965e-05,0.03246311865927186,0.17382860143119605,682.7836828809802,fastsma_10
LUNCUSDT,20,7.261689999999964e-08,0.105343836940891,1.070363529089953,35.714285714285715,28,0.00010314429027546979,-4.547517755526454e-05,0.07040321844869943,0.20029473971978262,259.3661805998334,fastsma_20
LUNCUSDT,30,6.84387000000009e-08,0.09762489058419221,1.0728137738529753,44.44444444444444,27,0.00010434058009822778,-4.999867370717578e-05,0.06559164223121214,0.21011658506696684,259.02664282050796,fastsma_30
LUNCUSDT,40,-2.8681699999999985e-08,-0.04094473246697403,0.9715095478580927,37.03703703703704,27,0.00011059118434353366,-5.103905643983688e-05,0.02593488818322527,0.11998374550843816,-620.9906804687238,fastsma_40
LUNCUSDT,50,2.1008099999999993e-07,0.3000815628151749,1.255533325970323,45.45454545454545,22,9.579180114682728e-05,-3.8040965530393534e-05,0.2193100009446456,0.36966087410849446,,fastsma_50
LUNCUSDT,60,1.228696000000001e-07,0.17489932841918457,1.1387770905350934,48.148148148148145,27,9.142801805639422e-05,-3.8951167632012025e-05,0.13438943839317638,0.35415106947645614,146.51559132608912,fastsma_60
LUNCUSDT,70,4.903380000000057e-08,0.06990405616458821,1.0482153350445516,32.142857142857146,28,8.866836002097145e-05,-3.772744409872715e-05,0.055300222072905504,0.2879517345100949,391.0695561021189,fastsma_70
LUNCUSDT,80,1.0717199999999865e-08,0.015373101016637074,1.0102109142794637,32.25806451612903,31,9.361688574349714e-05,-4.165044628311346e-05,0.011447934755450149,0.22717830769585168,2036.661991938297,fastsma_80
OMUSDT,10,0.002620701999999999,0.6681994371643506,1.4038390740348625,28.947368421052634,38,0.5189114800365435,-0.2054730321437406,0.5050383544830113,0.5049460993991234,44.85559090655857,fastsma_10
OMUSDT,20,0.0031812555999999968,0.8129379117918248,1.5305525341562651,31.03448275862069,29,0.5955757564772957,-0.24025441623707613,0.5341479342303067,0.5335662020592612,29.489912945064845,fastsma_20
OMUSDT,30,0.005316428100000003,1.3525059149999379,2.1571151880490507,44.0,25,0.4510446335907137,-0.18133863337236406,1.1786922410929799,0.7231026104682016,,fastsma_30
OMUSDT,40,0.003455947600000001,0.8703585787977863,1.719183073886256,44.0,25,0.6804065068687581,-0.2721188450701065,0.5079239491556787,0.42459163570867764,,fastsma_40
OMUSDT,50,0.0038798262999999978,0.9771852059723579,1.827907691841521,45.83333333333333,24,0.5751430088646425,-0.2408223006498305,0.6745846233372366,0.5608190163968705,,fastsma_50
OMUSDT,60,0.003251804699999994,0.8176536658730132,1.6734713100456067,38.46153846153847,26,0.5883345643415971,-0.24245963938049914,0.5527135234080758,0.4975413232325646,23.058594140047866,fastsma_60
OMUSDT,70,0.003498891100000001,0.8728043757525279,1.7592443315623154,48.148148148148145,27,0.5909939456179569,-0.24578797361677307,0.5920350159156842,0.5263710587507215,21.382933152735166,fastsma_70
OMUSDT,80,0.0023202162000000013,0.581226067516326,1.4342468455421036,58.620689655172406,29,0.6332312834919307,-0.2586206919955182,0.3664089662793118,0.3159031415046748,34.95117541201545,fastsma_80
APTUSDT,10,-0.05033339499999994,-1.0556198104308938,0.5571011289551722,25.71428571428571,35,8.501078581965027,-3.855547487738458,0.5920824577105057,0.6017692294087796,-14.682432408940446,fastsma_10
APTUSDT,20,-0.01753665400000002,-0.3201114792587576,0.8225690185937615,33.33333333333333,30,6.04092277806616,-3.032444436716714,0.2902976026059037,0.02604642010948799,-55.32383372563529,fastsma_20
APTUSDT,30,0.013429038000000011,0.3298619026680798,1.1831448965112208,50.0,24,6.151383751152661,-3.0491930428575986,0.21830922184758259,0.35048469021867423,,fastsma_30
APTUSDT,40,0.017534472000000027,0.41758731743604915,1.2298741512885167,40.909090909090914,22,5.89991494405504,-2.761069434827721,0.2971987251726124,0.37756074010039586,,fastsma_40
APTUSDT,50,0.012087036999999983,0.30256289479710397,1.1691579141324195,33.33333333333333,24,5.641789074705272,-2.5478683544858103,0.21424120682199396,0.2919342582989294,,fastsma_50
APTUSDT,60,0.026633062999999915,0.6078961789489495,1.4278662201582961,54.54545454545454,22,5.50352112074396,-2.6163752394509525,0.4839276967542497,0.3470256958364498,,fastsma_60
APTUSDT,70,0.020848290999999977,0.48396797698410843,1.327850159974901,54.166666666666664,24,5.210622810953014,-2.59441547876406,0.4001113063907779,0.3930465026745603,,fastsma_70
APTUSDT,80,0.018877444999999975,0.4522247766911417,1.2014748181091464,48.38709677419355,31,5.891426710559033,-2.895829632781667,0.3204223005297932,0.3639789823267666,47.87212369046754,fastsma_80
NEARUSDT,10,0.0046896199999999855,0.21282658251632072,1.0722846624949842,26.47058823529412,34,3.962117381222796,-1.376485454034777,0.11836146052171392,0.38844339488062385,225.5501341260075,fastsma_10
NEARUSDT,20,9.542999999997193e-05,0.029039488832055538,1.001817094050944,34.48275862068966,29,4.08334831989825,-1.8433131990973926,0.0023370526470871795,0.18950316798026157,5744.330818403679,fastsma_20
NEARUSDT,30,0.006908690000000038,0.29770863672746994,1.1272103771793978,42.30769230769231,26,3.00534338951457,-1.3319713466020906,0.2298802201473538,0.4549302402156218,70.17247842934017,fastsma_30
NEARUSDT,40,0.025404650000000018,1.007277401555139,1.7949826997740355,38.095238095238095,21,2.203174392758167,-0.8094711858220323,1.1530930135855377,0.7728609784966186,,fastsma_40
